cart_item_id,user_id,product_id,quantity_added
1,21,134,2
2,21,61,4
3,21,6,1
4,21,6,3
5,22,116,10
6,23,112,2
7,24,97,3
8,24,56,10
9,24,199,5
10,24,3,1
11,24,71,7
12,25,156,2
13,25,171,6
14,25,103,1
15,25,190,5
16,25,165,1
17,25,143,5
18,25,26,9
19,25,120,5
20,25,59,1
21,25,164,3
22,26,171,7
23,26,169,7
24,26,23,2
25,26,159,8
26,26,110,6
27,26,135,1
28,26,75,2
29,27,56,1
30,27,136,9
31,27,74,4
32,27,125,4
33,27,100,4
34,27,134,10
35,27,98,9
36,28,106,3
37,28,120,9
38,28,161,3
39,28,58,1
40,28,90,10
41,28,197,2
42,28,183,7
43,28,66,10
44,28,166,10
45,28,114,10
46,29,141,4
47,29,158,3
48,29,83,10
49,29,90,10
50,29,37,2
51,30,73,6
52,30,21,8
53,30,11,1
54,30,108,4
55,30,93,1
56,30,63,4
57,30,110,6
58,30,184,1
59,31,160,1
60,31,185,1
61,31,59,4
62,31,37,7
63,31,46,10
64,31,4,1
65,32,68,10
66,32,176,3
67,32,109,1
68,32,161,9
69,32,106,6
70,32,125,8
71,32,46,2
72,32,8,1
73,32,102,3
74,33,173,3
75,33,126,7
76,33,4,8
77,33,89,6
78,33,198,8
79,33,69,9
80,33,193,4
81,33,14,2
82,34,120,1
83,34,28,7
84,34,110,4
85,35,144,9
86,35,60,9
87,36,79,9
88,36,176,5
89,36,55,7
90,37,124,8
91,37,170,4
92,37,96,9
93,37,89,2
94,37,62,9
95,37,174,4
96,37,174,10
97,38,53,7
98,38,85,9
99,38,157,5
100,38,19,3
101,39,42,5
102,39,54,3
103,39,172,2
104,40,97,9
105,40,31,7
106,40,159,9
107,40,159,10
108,40,21,1
109,40,162,4
110,40,178,9
111,40,36,1
112,40,47,1
113,40,134,9
114,41,186,9
115,41,163,7
116,41,55,9
117,41,1,9
118,41,53,5
119,41,178,6
120,41,39,4
121,41,134,8
122,42,71,6
123,43,56,1
124,43,140,8
125,43,167,2
126,43,15,7
127,43,99,3
128,43,29,1
129,43,133,2
130,43,131,7
131,44,162,7
132,44,159,6
133,44,94,2
134,44,32,10
135,45,185,6
136,45,180,2
137,45,24,7
138,45,36,3
139,45,111,10
140,45,123,2
141,45,128,1
142,45,166,2
143,45,61,5
144,45,166,8
145,46,17,9
146,46,191,8
147,46,169,4
148,46,162,1
149,46,57,4
150,47,5,3
151,47,3,6
152,47,179,4
153,48,52,3
154,48,100,6
155,48,93,2
156,48,189,6
157,48,163,8
158,48,133,3
159,48,195,5
160,48,58,8
161,48,160,6
162,48,148,8
163,49,163,10
164,49,104,10
165,49,200,9
166,49,99,4
167,49,112,3
168,49,142,9
169,49,186,2
170,49,139,5
171,49,77,2
172,50,174,2
173,50,120,6
174,50,168,7
175,50,25,1
176,50,104,1
177,50,86,6
178,50,137,1
179,50,8,5
180,51,113,7
181,51,183,4
182,51,68,6
183,51,140,6
184,51,200,1
185,52,94,4
186,52,67,7
187,52,193,10
188,52,76,1
189,52,84,7
190,52,117,4
191,52,115,8
192,52,36,3
193,53,40,2
194,53,26,4
195,53,35,5
196,53,59,3
197,53,116,4
198,53,58,6
199,53,94,3
200,53,51,2
201,54,80,6
202,54,173,9
203,54,22,1
204,54,170,7
205,54,146,3
206,55,132,5
207,55,115,8
208,55,117,6
209,55,24,3
210,55,140,9
211,56,14,8
212,56,10,7
213,57,38,2
214,57,45,5
215,57,131,5
216,57,79,6
217,57,108,5
218,57,113,9
219,58,138,9
220,58,197,1
221,58,161,4
222,58,100,1
223,58,104,2
224,58,197,10
225,58,144,1
226,58,9,1
227,58,190,3
228,58,52,1
229,59,41,4
230,59,193,2
231,59,17,10
232,59,9,4
233,59,66,4
234,59,43,6
235,59,116,9
236,59,120,2
237,59,11,10
238,60,83,7
239,60,98,2
240,60,193,3
241,60,155,2
242,61,51,4
243,61,54,5
244,61,65,9
245,61,125,7
246,61,181,6
247,61,107,1
248,61,186,3
249,61,96,2
250,62,90,7
251,62,30,8
252,62,199,2
253,62,188,9
254,62,49,4
255,62,180,3
256,63,41,5
257,63,200,3
258,64,39,4
259,64,81,5
260,64,91,8
261,64,111,1
262,64,89,8
263,65,140,10
264,65,143,5
265,66,135,10
266,66,184,6
267,66,196,6
268,66,35,4
269,66,44,6
270,66,139,3
271,66,173,3
272,66,70,3
273,67,21,7
274,68,66,2
275,69,170,4
276,69,141,4
277,69,176,1
278,69,76,4
279,69,170,1
280,69,28,6
281,70,35,2
282,71,77,4
283,71,121,8
284,71,45,6
285,71,84,3
286,71,132,3
287,71,67,5
288,71,199,6
289,71,72,9
290,71,110,3
291,72,58,9
292,72,131,4
293,72,80,9
294,72,120,4
295,72,152,7
296,72,48,2
297,72,131,1
298,73,32,5
299,73,54,7
300,73,47,5
301,73,139,4
302,74,28,9
303,74,39,1
304,74,158,3
305,74,58,4
306,74,141,8
307,74,121,1
308,74,18,7
309,74,93,1
310,74,66,5
311,74,7,4
312,75,182,8
313,75,159,10
314,76,52,7
315,76,90,9
316,77,129,9
317,77,134,5
318,77,96,7
319,77,157,3
320,77,184,9
321,77,37,9
322,77,110,10
323,78,117,5
324,79,9,6
325,79,176,7
326,79,121,3
327,79,92,7
328,79,158,6
329,80,67,5
330,80,4,1
331,80,57,8
332,81,79,7
333,81,38,1
334,81,12,6
335,81,37,6
336,81,90,4
337,82,17,3
338,82,174,10
339,82,39,1
340,82,68,1
341,82,187,4
342,82,187,9
343,82,187,9
344,82,66,5
345,83,154,6
346,83,133,5
347,83,117,10
348,84,6,3
349,84,46,8
350,84,175,2
351,84,180,2
352,84,139,4
353,84,11,9
354,84,60,4
355,84,102,7
356,85,155,6
357,86,168,7
358,86,166,10
359,86,83,4
360,86,38,7
361,87,142,8
362,87,100,10
363,88,96,8
364,88,88,6
365,88,79,8
366,88,5,5
367,88,16,10
368,88,84,5
369,88,162,9
370,88,173,3
371,88,199,5
372,88,89,7
373,89,36,10
374,89,14,9
375,90,43,9
376,90,80,2
377,90,103,9
378,90,164,9
379,90,56,4
380,90,199,7
381,90,36,7
382,90,157,5
383,91,43,5
384,91,79,5
385,91,137,9
386,91,102,8
387,91,79,7
388,91,52,4
389,92,85,3
390,92,46,8
391,92,163,1
392,92,126,3
393,92,194,3
394,92,139,6
395,92,56,4
396,93,112,9
397,94,53,2
398,94,151,3
399,94,83,8
400,94,41,9
401,94,24,3
402,94,104,5
403,94,182,2
404,95,152,8
405,95,14,8
406,95,81,8
407,96,78,8
408,96,72,1
409,97,189,10
410,97,89,8
411,97,125,10
412,97,91,10
413,97,178,6
414,97,31,4
415,97,128,9
416,98,78,4
417,98,159,10
418,98,83,3
419,98,49,3
420,98,7,6
421,98,90,9
422,98,47,3
423,98,14,1
424,98,171,2
425,99,1,1
426,100,72,6
427,100,134,9
428,100,78,10
429,100,4,7
430,100,128,1
431,100,146,5
